AgentID,DeferralRate,IsParticipating,EmploymentStatus,Year
DUMMY_EX_347651_003222,0.03,True,Active Continuous,2025
DUMMY_EX_784676_007446,0.05,True,Active Continuous,2025
DUMMY_EX_642028_001584,0.03,True,Active Continuous,2025
DUMMY_EX_855453_007784,0.02,True,Active Continuous,2025
DUMMY_EX_571963_002725,0.05,True,Active Continuous,2025
DUMMY_EX_874556_006071,0.1,True,Active Continuous,2025
DUMMY_EX_507568_009851,0.03,True,Active Continuous,2025
DUMMY_EX_449154_008929,0.04,True,Active Continuous,2025
DUMMY_EX_649367_006478,0.06,True,Active Continuous,2025
DUMMY_EX_316669_002530,0.03,True,Active Continuous,2025
DUMMY_EX_806154_004028,0.02,True,Active Continuous,2025
DUMMY_EX_943513_009238,0.06,True,Active Continuous,2025
DUMMY_EX_394712_009265,0.01,True,Active Continuous,2025
DUMMY_EX_913241_002341,0.06,True,Active Continuous,2025
DUMMY_EX_200398_009287,0.03,True,Active Continuous,2025
DUMMY_EX_479410_009297,0.04,True,Active Continuous,2025
DUMMY_EX_646365_003132,0.06,True,Active Continuous,2025
DUMMY_EX_753633_005406,0.03,True,Active Continuous,2025
DUMMY_EX_264293_004031,0.1,True,Active Continuous,2025
DUMMY_EX_702570_004561,0.01,True,Active Continuous,2025
DUMMY_EX_668682_008870,0.06,True,Active Continuous,2025
DUMMY_EX_780936_002904,0.03,True,Active Continuous,2025
DUMMY_EX_747040_002215,0.03,True,Active Continuous,2025
DUMMY_EX_610190_004702,0.03,True,Active Continuous,2025
DUMMY_EX_445371_007211,0.03,True,Active Continuous,2025
DUMMY_EX_811993_008161,0.0600,True,Active Continuous,2025
DUMMY_EX_591201_006856,0.03,True,Active Continuous,2025
DUMMY_EX_573122_002694,0.03,True,Active Continuous,2025
DUMMY_EX_479549_007079,0.06,True,Active Continuous,2025
DUMMY_EX_147361_008918,0.01,True,Active Continuous,2025
DUMMY_EX_478355_001691,0.04,True,Active Continuous,2025
DUMMY_EX_420320_002273,0.05,True,Active Continuous,2025
DUMMY_EX_652685_009082,0.03,True,Active Continuous,2025
DUMMY_NH_419885_000020,0.06,True,Active Continuous,2025
DUMMY_EX_116195_004707,0.01,True,Active Continuous,2025
DUMMY_EX_961378_009213,0.03,True,Active Continuous,2025
DUMMY_EX_480048_005419,0.1,True,Active Continuous,2025
DUMMY_EX_195606_004956,0.03,True,Active Continuous,2025
DUMMY_NH_721440_000309,0.03,True,Active Continuous,2025
DUMMY_EX_611342_007031,0.06,True,Active Continuous,2025
DUMMY_EX_916621_006828,0.06,True,Active Continuous,2025
DUMMY_EX_979801_002435,0.03,True,Active Continuous,2025
DUMMY_EX_186344_008752,0.01,True,Active Continuous,2025
DUMMY_EX_106088_009422,0.03,True,Active Continuous,2025
DUMMY_EX_888185_006275,0.1,True,Active Continuous,2025
DUMMY_EX_756336_004804,0.03,True,Active Continuous,2025
DUMMY_EX_362422_003862,0.1,True,Active Continuous,2025
DUMMY_NH_177039_000204,0.0600,True,Active Continuous,2025
DUMMY_EX_298953_008373,0.04,True,Active Continuous,2025
DUMMY_EX_370447_004124,0.06,True,Active Continuous,2025
DUMMY_EX_973129_003791,0.04,True,Active Continuous,2025
DUMMY_EX_310141_005921,0.03,True,Active Continuous,2025
DUMMY_EX_970276_008619,0.1,True,Active Continuous,2025
DUMMY_EX_463806_004413,0.03,True,Active Continuous,2025
DUMMY_EX_967980_002042,0.04,True,Active Continuous,2025
DUMMY_EX_779594_006659,0.1,True,Active Continuous,2025
DUMMY_EX_500914_006139,0.05,True,Active Continuous,2025
DUMMY_EX_889390_007179,0.03,True,Active Continuous,2025
DUMMY_EX_532662_007240,0.1,True,Active Continuous,2025
DUMMY_EX_965744_002805,0.03,True,Active Continuous,2025
DUMMY_EX_889895_008830,0.05,True,Active Continuous,2025
DUMMY_EX_467580_005902,0.01,True,Active Continuous,2025
DUMMY_EX_942363_007381,0.03,True,Active Continuous,2025
DUMMY_EX_375086_007399,0.03,True,Active Continuous,2025
DUMMY_EX_274266_005444,0.02,True,Active Continuous,2025
DUMMY_EX_895804_008162,0.03,True,Active Continuous,2025
DUMMY_EX_346011_009848,0.05,True,Active Continuous,2025
DUMMY_EX_354050_004335,0.03,True,Active Continuous,2025
DUMMY_EX_485916_006254,0.06,True,Active Continuous,2025
DUMMY_EX_140439_002061,0.04,True,Active Continuous,2025
DUMMY_EX_134674_008462,0.01,True,Active Continuous,2025
DUMMY_EX_745288_005049,0.06,True,Active Continuous,2025
DUMMY_EX_845427_009338,0.1,True,Active Continuous,2025
DUMMY_EX_209648_007852,0.06,True,Active Continuous,2025
DUMMY_EX_905979_005890,0.02,True,Active Continuous,2025
DUMMY_EX_132272_003164,0.03,True,Active Continuous,2025
DUMMY_EX_432426_007401,0.03,True,Active Continuous,2025
DUMMY_NH_512151_000803,0.03,True,Active Continuous,2025
DUMMY_NH_747180_000214,0.03,True,Active Continuous,2025
DUMMY_EX_248264_008863,0.03,True,Active Continuous,2025
DUMMY_EX_227277_002531,0.03,True,Active Continuous,2025
DUMMY_EX_150590_004495,0.03,True,Active Continuous,2025
DUMMY_EX_757487_009478,0.03,True,Active Continuous,2025
DUMMY_EX_273278_004776,0.03,True,Active Continuous,2025
DUMMY_EX_154124_003475,0.01,True,Active Continuous,2025
DUMMY_EX_860171_005853,0.03,True,Active Continuous,2025
DUMMY_EX_222983_004732,0.06,True,Active Continuous,2025
DUMMY_EX_607303_007961,0.03,True,Active Continuous,2025
DUMMY_EX_504933_009591,0.04,True,Active Continuous,2025
DUMMY_EX_958502_002021,0.00,False,Active Continuous,2025
DUMMY_NH_746348_001091,0.01,True,Active Continuous,2025
DUMMY_EX_864123_008118,0.03,True,Active Continuous,2025
DUMMY_EX_413232_003026,0.03,True,Active Continuous,2025
DUMMY_NH_295347_000556,0.03,True,Active Continuous,2025
DUMMY_EX_391842_003567,0.04,True,Active Continuous,2025
DUMMY_NH_870234_000279,0.00,False,Active Continuous,2025
DUMMY_EX_859487_008445,0.03,True,Active Continuous,2025
DUMMY_EX_628406_006598,0.01,True,Active Continuous,2025
DUMMY_EX_505474_008244,0.1,True,Active Continuous,2025
DUMMY_EX_232239_003652,0.03,True,Active Continuous,2025
DUMMY_EX_161471_009134,0.03,True,Active Continuous,2025
DUMMY_NH_738646_000594,0.03,True,Active Continuous,2025
DUMMY_EX_298974_001818,0.1,True,Active Continuous,2025
DUMMY_EX_392191_002863,0.04,True,Active Continuous,2025
DUMMY_EX_269500_007460,0.05,True,Active Continuous,2025
DUMMY_NH_781192_000772,0.05,True,Active Continuous,2025
DUMMY_EX_161145_002383,0.06,True,Active Continuous,2025
DUMMY_EX_460686_002576,0.06,True,Active Continuous,2025
DUMMY_EX_738551_007477,0.03,True,Active Continuous,2025
DUMMY_NH_541250_000039,0.00,False,Active Continuous,2025
DUMMY_EX_567574_002428,0.1,True,Active Continuous,2025
DUMMY_EX_662732_004834,0.05,True,Active Continuous,2025
DUMMY_EX_305534_006476,0.06,True,Active Continuous,2025
DUMMY_EX_995024_002855,0.03,True,Active Continuous,2025
DUMMY_EX_880837_005524,0.06,True,Active Continuous,2025
DUMMY_EX_483101_007452,0.03,True,Active Continuous,2025
DUMMY_EX_527330_004230,0.06,True,Active Continuous,2025
DUMMY_EX_621213_006965,0.03,True,Active Continuous,2025
DUMMY_EX_272443_007055,0.03,True,Active Continuous,2025
DUMMY_EX_446309_002791,0.02,True,Active Continuous,2025
DUMMY_EX_585346_004185,0.1,True,Active Continuous,2025
DUMMY_EX_510725_007192,0.06,True,Active Continuous,2025
DUMMY_EX_602784_002247,0.03,True,Active Continuous,2025
DUMMY_EX_484196_006469,0.03,True,Active Continuous,2025
DUMMY_EX_179863_007769,0.04,True,Active Continuous,2025
DUMMY_EX_441096_005570,0.06,True,Active Continuous,2025
DUMMY_EX_237376_005757,0.1,True,Active Continuous,2025
DUMMY_EX_266448_006852,0.03,True,Active Continuous,2025
DUMMY_EX_108485_002690,0.04,True,Active Continuous,2025
DUMMY_EX_108191_008392,0.09,True,Active Continuous,2025
DUMMY_EX_353949_004376,0.05,True,Active Continuous,2025
DUMMY_EX_104463_003042,0.03,True,Active Continuous,2025
DUMMY_NH_519213_000305,0.03,True,Active Continuous,2025
DUMMY_EX_954959_002919,0.01,True,Active Continuous,2025
DUMMY_EX_168821_004626,0.04,True,Active Continuous,2025
DUMMY_EX_983840_009785,0.03,True,Active Continuous,2025
DUMMY_EX_291253_002765,0.03,True,Active Continuous,2025
DUMMY_EX_592180_005289,0.03,True,Active Continuous,2025
DUMMY_EX_767831_008051,0.05,True,Active Continuous,2025
DUMMY_EX_838273_003161,0.03,True,Active Continuous,2025
DUMMY_EX_491113_006587,0.06,True,Active Continuous,2025
DUMMY_EX_977034_005605,0.05,True,Active Continuous,2025
DUMMY_EX_676074_001505,0.03,True,Active Continuous,2025
DUMMY_NH_338767_000536,0.1,True,Active Continuous,2025
DUMMY_EX_242268_006559,0.1,True,Active Continuous,2025
DUMMY_EX_523362_004587,0.03,True,Active Continuous,2025
DUMMY_EX_793678_005449,0.06,True,Active Continuous,2025
DUMMY_EX_786762_004934,0.03,True,Active Continuous,2025
DUMMY_EX_720355_004598,0.06,True,Active Continuous,2025
DUMMY_EX_572708_003878,0.1,True,Active Continuous,2025
DUMMY_NH_786560_001483,0.03,True,Active Continuous,2025
DUMMY_EX_841455_003910,0.1,True,Active Continuous,2025
DUMMY_EX_157009_008547,0.05,True,Active Continuous,2025
DUMMY_EX_504619_008228,0.05,True,Active Continuous,2025
DUMMY_EX_758782_002285,0.05,True,Active Continuous,2025
DUMMY_EX_569094_004012,0.04,True,Active Continuous,2025
DUMMY_NH_901995_001420,0.1,True,Active Continuous,2025
DUMMY_EX_235125_004432,0.03,True,Active Continuous,2025
DUMMY_EX_980367_002025,0.08,True,Active Continuous,2025
DUMMY_EX_985148_004803,0.04,True,Active Continuous,2025
DUMMY_EX_993353_005924,0.06,True,Active Continuous,2025
DUMMY_EX_398948_003717,0.03,True,Active Continuous,2025
DUMMY_EX_142463_005410,0.03,True,Active Continuous,2025
DUMMY_NH_620774_001368,0.03,True,Active Continuous,2025
DUMMY_EX_711643_009900,0.03,True,Active Continuous,2025
DUMMY_EX_238515_008257,0.03,True,Active Continuous,2025
DUMMY_EX_431470_008243,0.03,True,Active Continuous,2025
DUMMY_EX_897025_004860,0.03,True,Active Continuous,2025
DUMMY_EX_367598_007808,0.03,True,Active Continuous,2025
DUMMY_EX_564726_007151,0.04,True,Active Continuous,2025
DUMMY_EX_926594_002716,0.01,True,Active Continuous,2025
DUMMY_EX_334791_006907,0.05,True,Active Continuous,2025
DUMMY_EX_798135_009013,0.03,True,Active Continuous,2025
DUMMY_EX_779162_008160,0.03,True,Active Continuous,2025
DUMMY_EX_251448_002246,0.07,True,Active Continuous,2025
DUMMY_EX_995884_007987,0.07,True,Active Continuous,2025
DUMMY_EX_283143_007260,0.03,True,Active Continuous,2025
DUMMY_EX_940059_003385,0.03,True,Active Continuous,2025
DUMMY_EX_886861_004910,0.03,True,Active Continuous,2025
DUMMY_EX_767806_002671,0.03,True,Active Continuous,2025
DUMMY_EX_522705_009685,0.03,True,Active Continuous,2025
DUMMY_EX_590489_003391,0.03,True,Active Continuous,2025
DUMMY_EX_318794_002393,0.03,True,Active Continuous,2025
DUMMY_EX_340800_004998,0.03,True,Active Continuous,2025
DUMMY_EX_815001_003276,0.06,True,Active Continuous,2025
DUMMY_EX_997155_008971,0.06,True,Active Continuous,2025
DUMMY_EX_682378_008908,0.03,True,Active Continuous,2025
DUMMY_EX_338062_009910,0.03,True,Active Continuous,2025
DUMMY_EX_694090_003734,0.02,True,Active Continuous,2025
DUMMY_EX_729737_006554,0.03,True,Active Continuous,2025
DUMMY_EX_947850_007042,0.03,True,Active Continuous,2025
DUMMY_EX_778153_003582,0.03,True,Active Continuous,2025
DUMMY_EX_295198_005015,0.05,True,Active Continuous,2025
DUMMY_EX_407991_008271,0.05,True,Active Continuous,2025
DUMMY_NH_625327_000707,0.04,True,Active Continuous,2025
DUMMY_EX_687981_002022,0.01,True,Active Continuous,2025
DUMMY_EX_814271_005728,0.03,True,Active Continuous,2025
DUMMY_EX_740263_002768,0.06,True,Active Continuous,2025
DUMMY_EX_712442_003292,0.06,True,Active Continuous,2025
DUMMY_EX_645578_004016,0.03,True,Active Continuous,2025
DUMMY_EX_297163_004544,0.00,False,Active Continuous,2025
DUMMY_EX_624636_006467,0.00,False,Active Continuous,2025
DUMMY_EX_661546_009689,0.03,True,Active Continuous,2025
DUMMY_NH_749493_000802,0.1,True,Active Continuous,2025
DUMMY_NH_837354_000852,0.06,True,Active Continuous,2025
DUMMY_EX_884196_002998,0.03,True,Active Continuous,2025
DUMMY_EX_386250_007709,0.03,True,Active Continuous,2025
DUMMY_EX_193652_005730,0.01,True,Active Continuous,2025
DUMMY_EX_352575_005344,0.1,True,Active Continuous,2025
DUMMY_EX_791257_009111,0.02,True,Active Continuous,2025
DUMMY_EX_326981_003126,0.00,False,Active Continuous,2025
DUMMY_EX_570151_005994,0.1,True,Active Continuous,2025
DUMMY_EX_193078_006590,0.06,True,Active Continuous,2025
DUMMY_EX_615166_009716,0.03,True,Active Continuous,2025
DUMMY_EX_217319_004870,0.05,True,Active Continuous,2025
DUMMY_EX_191121_008747,0.1,True,Active Continuous,2025
DUMMY_EX_275855_003468,0.04,True,Active Continuous,2025
DUMMY_EX_305992_006100,0.03,True,Active Continuous,2025
DUMMY_EX_346250_004264,0.04,True,Active Continuous,2025
DUMMY_EX_922495_007642,0.04,True,Active Continuous,2025
DUMMY_EX_235698_009222,0.1,True,Active Continuous,2025
DUMMY_NH_352912_000864,0.04,True,Active Continuous,2025
DUMMY_EX_657779_003466,0.02,True,Active Continuous,2025
DUMMY_EX_182208_002568,0.03,True,Active Continuous,2025
DUMMY_EX_142137_009898,0.05,True,Active Continuous,2025
DUMMY_EX_582539_006334,0.03,True,Active Continuous,2025
DUMMY_NH_450772_001048,0.04,True,Active Continuous,2025
DUMMY_EX_524907_001777,0.03,True,Active Continuous,2025
DUMMY_EX_910455_004898,0.1,True,Active Continuous,2025
DUMMY_EX_679522_005936,0.03,True,Active Continuous,2025
DUMMY_EX_658079_005743,0.03,True,Active Continuous,2025
DUMMY_EX_156413_009754,0.1,True,Active Continuous,2025
DUMMY_EX_649160_005417,0.03,True,Active Continuous,2025
DUMMY_EX_221790_008674,0.03,True,Active Continuous,2025
DUMMY_EX_112297_003887,0.03,True,Active Continuous,2025
DUMMY_NH_397937_001039,0.1,True,Active Continuous,2025
DUMMY_EX_347599_003431,0.03,True,Active Continuous,2025
DUMMY_EX_123237_001940,0.1,True,Active Continuous,2025
DUMMY_EX_153966_006229,0.06,True,Active Continuous,2025
DUMMY_NH_506431_000161,0.03,True,Active Continuous,2025
DUMMY_EX_286006_001549,0.03,True,Active Continuous,2025
DUMMY_EX_865378_009563,0.03,True,Active Continuous,2025
DUMMY_EX_851444_003456,0.04,True,Active Continuous,2025
DUMMY_EX_710161_007342,0.03,True,Active Continuous,2025
DUMMY_EX_264274_003462,0.0600,True,Active Continuous,2025
DUMMY_EX_303669_004099,0.04,True,Active Continuous,2025
DUMMY_EX_806838_003099,0.03,True,Active Continuous,2025
DUMMY_EX_653331_002034,0.09,True,Active Continuous,2025
DUMMY_NH_740273_000711,0.09,True,Active Continuous,2025
DUMMY_NH_975288_000669,0.03,True,Active Continuous,2025
DUMMY_EX_412021_008916,0.03,True,Active Continuous,2025
DUMMY_EX_864147_001792,0.03,True,Active Continuous,2025
DUMMY_EX_678454_003243,0.03,True,Active Continuous,2025
DUMMY_EX_183325_008000,0.03,True,Active Continuous,2025
DUMMY_EX_835817_004333,0.03,True,Active Continuous,2025
DUMMY_EX_254441_004489,0.07,True,Active Continuous,2025
DUMMY_EX_670546_005308,0.03,True,Active Continuous,2025
DUMMY_EX_734044_003738,0.03,True,Active Continuous,2025
DUMMY_EX_861055_009659,0.04,True,Active Continuous,2025
DUMMY_EX_406584_003004,0.03,True,Active Continuous,2025
DUMMY_EX_292652_003671,0.03,True,Active Continuous,2025
DUMMY_EX_339003_008294,0.03,True,Active Continuous,2025
DUMMY_EX_310256_004412,0.03,True,Active Continuous,2025
DUMMY_EX_387910_009021,0.03,True,Active Continuous,2025
DUMMY_EX_194877_007296,0.03,True,Active Continuous,2025
DUMMY_EX_855607_007924,0.03,True,Active Continuous,2025
DUMMY_EX_599514_007498,0.03,True,Active Continuous,2025
DUMMY_EX_213324_009523,0.06,True,Active Continuous,2025
DUMMY_EX_439674_004655,0.03,True,Active Continuous,2025
DUMMY_EX_358016_003058,0.1,True,Active Continuous,2025
DUMMY_EX_427835_001892,0.1,True,Active Continuous,2025
DUMMY_EX_195767_009641,0.01,True,Active Continuous,2025
DUMMY_EX_277460_007586,0.05,True,Active Continuous,2025
DUMMY_EX_678709_009677,0.03,True,Active Continuous,2025
DUMMY_EX_443583_003220,0.03,True,Active Continuous,2025
DUMMY_EX_167046_009963,0.03,True,Active Continuous,2025
DUMMY_EX_610518_004490,0.02,True,Active Continuous,2025
DUMMY_EX_989260_002514,0.03,True,Active Continuous,2025
DUMMY_EX_467438_009906,0.05,True,Active Continuous,2025
DUMMY_EX_460938_001870,0.08,True,Active Continuous,2025
DUMMY_EX_585318_009681,0.03,True,Active Continuous,2025
DUMMY_NH_903098_000664,0.09,True,Active Continuous,2025
DUMMY_EX_911929_006689,0.03,True,Active Continuous,2025
DUMMY_EX_623119_003482,0.05,True,Active Continuous,2025
DUMMY_EX_658041_006302,0.0600,True,Active Continuous,2025
DUMMY_EX_432394_002591,0.03,True,Active Continuous,2025
DUMMY_EX_158556_008728,0.04,True,Active Continuous,2025
DUMMY_NH_558775_000891,0.03,True,Active Continuous,2025
DUMMY_EX_522848_009752,0.04,True,Active Continuous,2025
DUMMY_EX_448977_003558,0.04,True,Active Continuous,2025
DUMMY_EX_593561_009940,0.0600,True,Active Continuous,2025
DUMMY_EX_557348_008010,0.08,True,Active Continuous,2025
DUMMY_EX_375524_009419,0.04,True,Active Continuous,2025
DUMMY_EX_565677_008912,0.1,True,Active Continuous,2025
DUMMY_EX_596036_008500,0.08,True,Active Continuous,2025
DUMMY_EX_455878_002201,0.01,True,Active Continuous,2025
DUMMY_EX_873524_008981,0.1,True,Active Continuous,2025
DUMMY_EX_144211_002579,0.07,True,Active Continuous,2025
DUMMY_EX_622479_003756,0.1,True,Active Continuous,2025
DUMMY_EX_812861_007431,0.03,True,Active Continuous,2025
DUMMY_EX_118871_006978,0.04,True,Active Continuous,2025
DUMMY_EX_559081_004765,0.03,True,Active Continuous,2025
DUMMY_EX_812315_008930,0.04,True,Active Continuous,2025
DUMMY_EX_897106_008552,0.1,True,Active Continuous,2025
DUMMY_EX_440813_005532,0.06,True,Active Continuous,2025
DUMMY_EX_448929_003011,0.07,True,Active Continuous,2025
DUMMY_EX_795740_009667,0.07,True,Active Continuous,2025
DUMMY_EX_640603_008987,0.04,True,Active Continuous,2025
DUMMY_EX_178092_001806,0.06,True,Active Continuous,2025
DUMMY_EX_337089_004527,0.1,True,Active Continuous,2025
DUMMY_EX_849033_005316,0.05,True,Active Continuous,2025
DUMMY_NH_379381_001452,0.03,True,Active Continuous,2025
DUMMY_EX_155117_003368,0.03,True,Active Continuous,2025
DUMMY_EX_757739_001973,0.03,True,Active Continuous,2025
DUMMY_EX_371467_008463,0.05,True,Active Continuous,2025
DUMMY_EX_130732_004372,0.03,True,Active Continuous,2025
DUMMY_EX_888996_008741,0.06,True,Active Continuous,2025
DUMMY_EX_216140_001984,0.03,True,Active Continuous,2025
DUMMY_EX_484241_001533,0.02,True,Active Continuous,2025
DUMMY_EX_503669_001760,0.1,True,Active Continuous,2025
DUMMY_NH_630670_000923,0.0600,True,Active Continuous,2025
DUMMY_EX_649720_004210,0.06,True,Active Continuous,2025
DUMMY_EX_881518_005970,0.03,True,Active Continuous,2025
DUMMY_EX_476887_009340,0.06,True,Active Continuous,2025
DUMMY_EX_495810_009477,0.03,True,Active Continuous,2025
DUMMY_EX_241091_005387,0.1,True,Active Continuous,2025
DUMMY_EX_597263_009124,0.03,True,Active Continuous,2025
DUMMY_EX_978797_004771,0.03,True,Active Continuous,2025
DUMMY_EX_628666_002652,0.06,True,Active Continuous,2025
DUMMY_EX_177821_004323,0.06,True,Active Continuous,2025
DUMMY_EX_458455_007423,0.02,True,Active Continuous,2025
DUMMY_EX_869651_005150,0.03,True,Active Continuous,2025
DUMMY_EX_441130_004131,0.04,True,Active Continuous,2025
DUMMY_EX_490881_003829,0.02,True,Active Continuous,2025
DUMMY_EX_443836_008030,0.06,True,Active Continuous,2025
DUMMY_NH_785910_000816,0.00,False,Active Continuous,2025
DUMMY_EX_842717_004782,0.06,True,Active Continuous,2025
DUMMY_EX_384407_006595,0.03,True,Active Continuous,2025
DUMMY_EX_326641_007633,0.01,True,Active Continuous,2025
DUMMY_EX_217820_003256,0.06,True,Active Continuous,2025
DUMMY_EX_573086_005633,0.09,True,Active Continuous,2025
DUMMY_NH_992395_001196,0.03,True,Active Continuous,2025
DUMMY_EX_297251_008061,0.03,True,Active Continuous,2025
DUMMY_EX_427401_002894,0.1,True,Active Continuous,2025
DUMMY_EX_730396_004882,0.06,True,Active Continuous,2025
DUMMY_EX_523815_009707,0.03,True,Active Continuous,2025
DUMMY_NH_620191_000941,0.05,True,Active Continuous,2025
DUMMY_EX_545857_006451,0.06,True,Active Continuous,2025
DUMMY_EX_339647_005996,0.03,True,Active Continuous,2025
DUMMY_EX_932522_004512,0.04,True,Active Continuous,2025
DUMMY_EX_866026_009914,0.03,True,Active Continuous,2025
DUMMY_EX_513486_009894,0.03,True,Active Continuous,2025
DUMMY_EX_536649_001711,0.06,True,Active Continuous,2025
DUMMY_NH_749521_001156,0.03,True,Active Continuous,2025
DUMMY_EX_780302_002785,0.06,True,Active Continuous,2025
DUMMY_EX_396367_006919,0.03,True,Active Continuous,2025
DUMMY_EX_244737_003286,0.03,True,Active Continuous,2025
DUMMY_EX_788639_007464,0.05,True,Active Continuous,2025
DUMMY_EX_495964_002664,0.06,True,Active Continuous,2025
DUMMY_EX_634634_008973,0.03,True,Active Continuous,2025
DUMMY_EX_243267_003947,0.06,True,Active Continuous,2025
DUMMY_EX_983026_005337,0.03,True,Active Continuous,2025
DUMMY_NH_870234_001054,0.05,True,Active Continuous,2025
DUMMY_EX_837347_002400,0.06,True,Active Continuous,2025
DUMMY_EX_153636_007834,0.03,True,Active Continuous,2025
DUMMY_EX_709889_006201,0.0600,True,Active Continuous,2025
DUMMY_EX_200424_008860,0.03,True,Active Continuous,2025
DUMMY_EX_482557_009367,0.1,True,Active Continuous,2025
DUMMY_NH_198401_000998,0.05,True,Active Continuous,2025
DUMMY_EX_714538_006360,0.03,True,Active Continuous,2025
DUMMY_NH_655012_001435,0.03,True,Active Continuous,2025
DUMMY_EX_823947_004500,0.04,True,Active Continuous,2025
DUMMY_EX_761441_001597,0.09,True,Active Continuous,2025
DUMMY_EX_736796_002821,0.03,True,Active Continuous,2025
DUMMY_EX_159977_003504,0.03,True,Active Continuous,2025
DUMMY_EX_402828_007900,0.03,True,Active Continuous,2025
DUMMY_EX_728217_007121,0.03,True,Active Continuous,2025
DUMMY_EX_763257_007066,0.05,True,Active Continuous,2025
DUMMY_EX_980170_004900,0.03,True,Active Continuous,2025
DUMMY_EX_399200_008562,0.07,True,Active Continuous,2025
DUMMY_EX_255161_009219,0.01,True,Active Continuous,2025
DUMMY_EX_123131_004963,0.04,True,Active Continuous,2025
DUMMY_EX_417788_007328,0.03,True,Active Continuous,2025
DUMMY_EX_602291_004303,0.03,True,Active Continuous,2025
DUMMY_EX_705936_009731,0.06,True,Active Continuous,2025
DUMMY_EX_552098_007847,0.08,True,Active Continuous,2025
DUMMY_NH_533481_001319,0.03,True,Active Continuous,2025
DUMMY_NH_188758_001092,0.03,True,Active Continuous,2025
DUMMY_EX_710234_003076,0.03,True,Active Continuous,2025
DUMMY_EX_107552_008556,0.05,True,Active Continuous,2025
DUMMY_EX_260949_009798,0.03,True,Active Continuous,2025
DUMMY_EX_246536_006778,0.04,True,Active Continuous,2025
DUMMY_EX_900603_006420,0.03,True,Active Continuous,2025
DUMMY_EX_138097_001850,0.03,True,Active Continuous,2025
DUMMY_NH_164734_000097,0.03,True,Active Continuous,2025
DUMMY_EX_933676_007352,0.03,True,Active Continuous,2025
DUMMY_EX_101916_007115,0.03,True,Active Continuous,2025
DUMMY_NH_108225_000728,0.04,True,Active Continuous,2025
DUMMY_EX_319412_009210,0.03,True,Active Continuous,2025
DUMMY_EX_112365_005322,0.03,True,Active Continuous,2025
DUMMY_EX_561487_005157,0.1,True,Active Continuous,2025
DUMMY_EX_347841_001926,0.03,True,Active Continuous,2025
DUMMY_NH_128511_000563,0.01,True,Active Continuous,2025
DUMMY_EX_354423_001641,0.06,True,Active Continuous,2025
DUMMY_EX_332131_009133,0.0600,True,Active Continuous,2025
DUMMY_EX_962422_005923,0.03,True,Active Continuous,2025
DUMMY_EX_128089_005494,0.02,True,Active Continuous,2025
DUMMY_EX_239132_005988,0.03,True,Active Continuous,2025
DUMMY_EX_600454_002196,0.06,True,Active Continuous,2025
DUMMY_EX_694723_009720,0.03,True,Active Continuous,2025
